# Generated by tools/wikispec_fetch.py on 2026-09-05. Do not edit by hand.
# Source: the per-car articles on en.wikipedia.org, {{Racing car}} infobox. CC BY-SA 4.0.
# Every row was checked against F1DB for constructor and seasons before it was written; see car_specs.log.
# article|chassis_ids|constructor_id|first_year|last_year|designers|chassis_type|susp_front|susp_rear|engine_name|engine_config|aspiration|engine_position|gearbox|gears|brakes|fuel|lubricants|tyres|predecessor|successor|debut|power_note|capacity_cc|power_bhp|weight_kg|wheelbase_mm|track_front_mm|track_rear_mm|fuel_l|races|wins|poles|fastest_laps|podiums|drivers_titles|constructors_titles
Sauber C12|sauber-c12|sauber|1993|1993|Harvey Postlethwaite (Technical Director) ; Leo Ress (Chief Designer); Mike Gascoyne (Head of Aerodynamics); Mario Illien (Chief Engine Designer, Ilmor)|Carbon fibre monocoque|Double wishbones, pushrod|Double wishbones, pushrod|Ilmor 2175A|75° V10|NA|mid-engine, longitudinally mounted|Sauber / XTrac T|6-speed||Elf|Liqui Moly|Goodyear||Sauber C13|1993 South African Grand Prix||3496||505|2930|1690|1690||16|0|0|0||0|0
Sauber C13|sauber-c13|sauber|1994|1994|André de Cortanze (Technical Director) ; Leo Ress (Chief Designer); Heinz Zoellner (Head of Aerodynamics); Mario Illien (Chief Engine Designer, Ilmor)|Carbon fibre monocoque|||Mercedes-Benz 2175B|75° V10|NA|mid-engine, longitudinally mounted|Sauber / XTrac T|6-speed||Castrol||Goodyear|Sauber C12|Sauber C14|1994 Brazilian Grand Prix|720-755 hp @ 14,000 rpm|3496|755||||||16|0|0|0|0|0|0
Sauber C14|sauber-c14|sauber|1995|1995|André de Cortanze (Technical Director); Leo Ress (Chief Designer); Heinz Zoellner (Head of Aerodynamics); Geoff Goddard (Chief Engine Designer, Ford Cosworth)|Carbon fibre monocoque|Double wishbones, pushrod|As front|Ford ECA Zetec-R|90° V8|NA|mid-engine, longitudinally mounted|Sauber / XTrac transverse|6-speed||Castrol||Goodyear|Sauber C13|Sauber C15|1995 Brazilian Grand Prix|600-630 hp @ 14,000 rpm|2999|630|595|2920|1680|1680||17|0|0|0|1|0|0
Sauber C15|sauber-c15|sauber|1996|1996|Leo Ress ; Ian Thomson ; Rene Hilhorst ; Mike Jennings ; Martin Walters|carbon-fibre and honeycomb composite structure|double wishbones, combined spring/damper units, pushrod|double wishbones, combined spring/damper units, pushrod|Ford JD Zetec-R, 72° V10, NA||||Sauber/Xtrac six-speed longitudinal semi-automatic|||Castrol||Goodyear|Sauber C14|Sauber C16|1996 Australian Grand Prix|670 hp @ 15,800 rpm||670||||||16|0|0|0|1|0|0
Sauber C16|sauber-c16|sauber|1997|1997|Leo Ress ; Osamu Goto ; Ian Thomson ; Rene Hilhorst ; Mike Jennings|carbon-fibre and honeycomb composite structure|double wishbones, pushrod, coil spring/damper|double wishbones, pushrod, coil spring/damper|Petronas (Ferrari Tipo 046) 3.0-litre 75-degree V10||||Sauber six-speed longitudinally-mounted sequential semi-automatic|||Shell|Shell|Goodyear|Sauber C15|Sauber C17|1997 Australian Grand Prix|720-730 hp @ 16,500 rpm||730||||||17|0|0|0|1|0|0
Sauber C17|sauber-c17|sauber|1998|1998|Leo Ress ; Osamu Goto ; Ian Thomson ; Rene Hilhorst ; Mike Jennings|carbon-fibre and honeycomb composite structure|double wishbones, pushrod, inboard spring/damper unit|double wishbones, pushrod, inboard spring/damper unit|Petronas SPE01D (Ferrari), 75-degree V10||||Sauber six-speed longitudinal sequential semi-automatic|||Shell|Shell|Goodyear|Sauber C16|Sauber C18|1998 Australian Grand Prix|||||||||16|0|0|0|1|0|0
Sauber C18|sauber-c18|sauber|1999|1999|レオ・レス ; Osamu Goto ; Ian Thomson ; Seamus Mullarkey ; Mike Jennings|Moulded carbon fibre composite structure|Double wishbones, pushrod|Double wishbones, pushrod|Petronas SPE 03A (Ferrari), 80° V10, NA||||Sauber seven-speed longitudinal sequential semi-automatic|||Shell|Shell|Bridgestone|Sauber C17|Sauber C19|1999 Australian Grand Prix|||||||||16|0|0|0||0|0
Sauber C19|sauber-c19|sauber|2000|2000|レオ・レス ; Osamu Goto ; Sergio Rinland ; Ian Thomson ; Seamus Mullarkey ; Mike Jennings|Moulded carbon fibre composite structure|Double wishbones, pushrod|Double wishbones, pushrod|Petronas SPE 04A (Ferrari), 80-degree V10||||Sauber seven-speed longitudinal semi-automatic|||Shell|Petronas|Bridgestone|Sauber C18|Sauber C20|2000 Australian Grand Prix|||||||||17|0|0|0||0|0
Sauber C20|sauber-c20|sauber|2001|2001|Willy Rampf ; Osamu Goto ; レオ・レス ; Sergio Rinland ; Ian Thomson ; Matt Cranor ; Ruedi Schorno ; Seamus Mullarkey ; Mike Jennings|Moulded carbon fibre composite structure|Double wishbones, pushrod|Double wishbones, pushrod|Petronas 01A (Ferrari Tipo 049)|90-degree V10|Normally aspirated|mid mounted|Sauber|seven-speed||Shell|Petronas|Bridgestone|Sauber C19|Sauber C21|2001 Australian Grand Prix|||||||||17|0|0|0||0|0
Sauber C21|sauber-c21|sauber|2002|2002|Willy Rampf ; Osamu Goto ; レオ・レス ; Christoph Zimmermann ; Matt Cranor ; Ruedi Schorno ; Seamus Mullarkey ; Dirk de Beer|carbon-fibre monocoque|double wishbones, pushrod-activated, in-board spring, damper units|double wishbones, pushrod-activated, in-board spring, damper units|Petronas 02A (Ferrari Tipo 050)|V10 (90°)|naturally aspirated||Sauber|7-speed||Shell|Petronas|Bridgestone|Sauber C20|Sauber C22|2002 Australian Grand Prix|||||||||17|0|0|0||0|0
Sauber C22|sauber-c22|sauber|2003|2003|Willy Rampf ; Osamu Goto ; レオ・レス ; Christoph Zimmermann ; Matt Cranor ; Ruedi Schorno ; Seamus Mullarkey ; Dirk de Beer|Carbon fibre monocoque|Upper and lower wishbones, inboard springs and dampers, actuated by pushrods|As front|Petronas 03A (Ferrari Tipo 051/B/C)|V10|naturally aspirated|Mid-engined, longitudianlly mounted|Sauber|7-speed||Petronas||Bridgestone|Sauber C21|Sauber C23|2003 Australian Grand Prix|||||||||16|0|0|0|1|0|0
Sauber C23|sauber-c23|sauber|2004|2004|Willy Rampf ; Osamu Goto ; Jacky Eeckelaert ; Christoph Zimmermann ; Matt Cranor ; Ruedi Schorno ; Seamus Mullarkey ; Dirk de Beer|carbon-fibre monocoque|Upper and lower wishbones, inboard springs and dampers actuated by pushrods|Upper and lower wishbones, inboard springs and dampers actuated by pushrods|Petronas 04A (Ferrari Tipo 053)|90 degree V10|naturally aspirated|mid-engine, longitudinally mounted|Ferrari|7-speed longitudinally mounted gearbox||Petronas Primax|Petronas Syntium|Bridgestone Potenza (January-October 2004) later Michelin (post-season testings only in November-December 2004)|Sauber C22|Sauber C24|2004 Australian Grand Prix|||||||||18|0|0|0||0|0
Sauber C24|sauber-c24|sauber|2005|2005|Willy Rampf ; Osamu Goto ; Jacky Eeckelaert ; Christoph Zimmermann ; Matt Cranor ; Ruedi Schorno ; Seamus Mullarkey ; Dirk de Beer|Carbon fibre monocoque|Upper and lower wishbones, inboard springs and dampers, actuated by pushrods|As front|Petronas 05A (Ferrari Tipo 055)|90° V10|naturally aspirated|mid-engined, longitudinally mounted|Sauber|7-speed||Petronas||Michelin|Sauber C23|BMW Sauber F1.06|2005 Australian Grand Prix|NNN hp||||||||19|0|0|0||0|0
Sauber C29|sauber-c29|sauber|2010|2010|Willy Rampf ; Christoph Zimmermann ; Pierre Waché ; Seamus Mullarkey ; Mariano Alperin|carbon-fibre and honeycomb composite monocoque|Upper and lower wishbones, inboard springs and dampers, actuated by pushrods|as front|Ferrari Type 056|90° V8, limited to 18,000 RPM|naturally aspirated|mid-mounted||Seven-speed semi-automatic carbon-fibre sequential gearbox with reverse gear||Shell||Bridgestone Potenza; OZ Wheels (front and rear): 13"|BMW Sauber F1.09|Sauber C30|2010 Bahrain Grand Prix||2400||620|||||19|0|0|0|0||
Sauber C30|sauber-c30|sauber|2011|2011|James Key ; Christoph Zimmermann ; Pierre Waché ; Seamus Mullarkey ; Mariano Alperin|carbon-fibre and honeycomb composite monocoque|Upper and lower wishbones, inboard springs and dampers, actuated by Sachs pushrods|as front|Ferrari Type 056|90° V8, limited to 18,000 RPM with optional 60 kW KERS|naturally aspirated|mid-mounted||Seven-speed semi-automatic carbon-fibre sequential gearbox with reverse gear||Shell||Pirelli P Zero; OZ Wheels (front and rear): 13"|Sauber C29|Sauber C31|2011 Australian Grand Prix||2398||640|||||19|0|0|0|0||
Sauber C31|sauber-c31|sauber|2012|2012|James Key ; Matt Morris ; Pierre Waché ; Willem Toet ; Seamus Mullarkey ; Mariano Alperin|Carbon-fibre monocoque|Upper and lower wishbones, inboard springs and dampers (SRE) actuated by pushrods|Upper and lower wishbones, inboard springs and dampers (SRE) actuated by pullrods|Ferrari 056|||mid-mounted|Ferrari|7-speed||Shell V-Power ULG-66L/2||Pirelli P Zero (dry), Cinturato (wet)|Sauber C30|Sauber C32|2012 Australian Grand Prix||||640|||||20|0|0|2|4||
Sauber C32|sauber-c32|sauber|2013|2013|Matt Morris ; Pierre Waché ; Willem Toet ; Seamus Mullarkey ; Mariano Alperin|Moulded carbon fibre composite monocoque incorporating front and side impact structures|Upper and lower wishbones, inboard springs and dampers actuated by pushrods|Upper and lower wishbones, inboard springs and dampers actuated by pullrods|Ferrari Type 056|V8 (90°).|Naturally aspirated, 18,000 RPM limited with KERS|mid-mounted.|Ferrari 7-speed quick-shift carbon gearbox, longitudinally mounted, carbon-fibre clutch|||||Pirelli P Zero (dry), Cinturato (wet)|Sauber C31|Sauber C33|2013 Australian Grand Prix|||||||||19|0|0|1|0||
Sauber C33|sauber-c33|sauber|2014|2014|Eric Gandelin ; Ben Waterhouse ; Willem Toet ; Seamus Mullarkey ; Mariano Alperin|Carbon-fibre monocoque|Upper and lower wishbones, inboard springs and dampers activated by pushrods|Upper and lower wishbones, inboard springs and dampers activated by pullrods|Ferrari 059/3|V6|turbo||Ferrari|8-speed gearbox||||Pirelli P Zero (dry), Cinturato (wet)|Sauber C32|Sauber C34|2014 Australian Grand Prix||||691|||||19|0|0|0|0||
Sauber C34|sauber-c34|sauber|2015|2015|Eric Gandelin ; Elliot Dason-Barber ; Vin Dhanani ; Willem Toet ; Seamus Mullarkey ; Mariano Alperin|Carbon-fibre monocoque|Upper and lower wishbones, inboard springs and dampers activated by pushrods|Upper and lower wishbones, inboard springs and dampers activated by pullrods|Ferrari 060|V6|turbocharged, 90°, 15,000 RPM limited|||Ferrari Semi-automatic 8 Speed Forward with one reverse unit, longitudinally mounted, carbon-fibre clutch||||Pirelli P Zero (dry), Cinturato (wet)|Sauber C33|Sauber C35|2015 Australian Grand Prix||||702|||||19|0|0|0|0||
Sauber C35|sauber-c35|sauber|2016|2016|Mark Smith ; Eric Gandelin ; Elliot Dason-Barber ; Vin Dhanani ; Seamus Mullarkey ; Mariano Alperin|Carbon-fibre composite survival cell|||Ferrari 061|direct injection V6 turbocharged engine, limited to 15,000 rpm||in a mid-mounted, rear-wheel drive layout|Sequential shift gearbox with|eight forward and one reverse gears|Carbon discs with steel calipers|||Pirelli P Zero (dry) tyres; Pirelli Cinturato (wet) tyres|Sauber C34|Sauber C36|2016 Australian Grand Prix|||||||||21|0|0|0|0||
Sauber C36|sauber-c36|sauber|2017|2017|Mariano Alperin (Head of Aerodynamic Development)|Carbon-fiber Monocoque|Upper and lower wishbone and pushrod activated torsion springs & rockers|Upper and lower wishbone and pullrod activated torsion springs & rockers|Ferrari 061|1600 cc,Turbocharged, 90° - V6 engine, limited to 15,000 RPM||in a longitudinal layout||Ferrari 8-speed quick-shift carbon gearbox|Brembo Carbon brake discs, pads; and calipers|||OZ Racing Wheels: 13"|Sauber C35|Sauber C37|2017 Australian Grand Prix|||||||||20|0|0|0|0||
Sauber C37|sauber-c37|sauber|2018|2018|Mariano Alperin||||Ferrari 062 EVO|1.6 L direct injection V6 turbocharged engine limited to 15,000 rpm||in a mid-mounted, rear-wheel drive layout||Eight forward and one reverse gears||Shell V-Power||Pirelli P Zero (dry); Pirelli Cinturato (wet)|Sauber C36|Alfa Romeo Racing C38|2018 Australian Grand Prix||||733|||||21|0|0|0|0||
Shadow DN1|shadow-dn1|shadow|1973|1974|Tony Southgate|Aluminium monocoque|||Cosworth DFV||NA||Hewland TL 200|5-speed||UOP||Goodyear||DN3|1973 South African Grand Prix|||||2540|1473|1473||15|0|0|0|2||
Shadow DN11|shadow-dn11|shadow|1980|1980|Tony Southgate; John Baldwin|Aluminium monocoque|||Cosworth DFV|V8|NA|mid-engined|Hewland FGA 400|5-speed||Fina/Valvoline||Goodyear|DN9|DN12|1980 Argentine Grand Prix||||605|2642|1631|1631||6|0|0|0||0|0
Shadow DN12|shadow-dn12|shadow|1980|1980|Tony Southgate; John Baldwin|Aluminium monocoque|||Cosworth DFV|V8|NA|mid-engined|Hewland FGA 400|5-speed||Fina/Valvoline||Goodyear|DN11||1980 Belgian Grand Prix||||605|2642|1631|1631||3|0|0|0||0|0
Shadow DN3|shadow-dn3+shadow-dn3b|shadow|1974|1976|Tony Southgate|Aluminium monocoque|||Cosworth DFV||NA||Hewland TL 200|5-speed||UOP||Goodyear|DN1|DN5|1974 Argentine Grand Prix||||580|2667|1473|1473||14|0|0|0||0|0
Shadow DN5|shadow-dn5+shadow-dn5b|shadow|1975|1977|Tony Southgate|Aluminium monocoque|||Cosworth DFV||NA||Hewland TL 200|5-speed||UOP||Goodyear|DN3|DN7 / DN8|1975 Argentine Grand Prix||||589|2667|1499|1499||32|0|3|2||0|0
Shadow DN7|shadow-dn7|shadow|1975|1975|Tony Southgate|Aluminium monocoque|||Matra MS73 V12||NA||Hewland TL 200|5-speed||UOP||Goodyear|DN5|DN8|1975 Austrian Grand Prix||||612|2667|1473|1473||2|0|0|0||0|0
Shadow DN8|shadow-dn8|shadow|1976|1978|Tony Southgate; Dave Wass|Aluminium monocoque|||Cosworth DFV||NA||Hewland TL 200|5-speed||FINA / Valvoline||Goodyear|DN5B / DN7|DN9|1976 Dutch Grand Prix||||620|2718|1473|1473||25|1|0|0||0|0
Shadow DN9|shadow-dn9|shadow|1978|1979|Tony Southgate; John Baldwin|Aluminium monocoque|||Cosworth DFV||NA||Hewland FGA 400|5-speed||FINA/Valvoline||Goodyear|DN8|DN11|1978 United States Grand Prix West|NNN hp|||605|2642|1631|1631||26|0|0|0||0|0
Simtek S941|simtek-s941|simtek|1994|1994|Nick Wirth (Technical Director) ; Paul Crooks (Chief Designer)||||Ford HBD6|75-degree V8|naturally aspirated||Simtek Xtrac T|6-speed||Elf||Goodyear||S951|1994 Brazilian Grand Prix,; Autódromo José Carlos Pace.|700 hp @ 13,000 rpm|3497|700||||||16|0|0|0|0|0|0
Simtek S951|simtek-s951|simtek|1995|1995|Nick Wirth (Technical Director); Paul Crooks (Chief Designer)|Carbon-fibre monocoque|Double wishbones, pushrod|Double wishbones, pushrod|Ford-Cosworth EDB1|V8 (75°)|naturally-aspirated||Benetton|6-speed||Castrol||Goodyear|S941||1995 Brazilian Grand Prix,; Autódromo José Carlos Pace.|630 hp @ 13,200 rpm|3000|630|595|||||5|0|0|0||0|0
Spirit 101|spirit-101+spirit-101c+spirit-101d|spirit|1984|1985|Gordon Coppuck; Tim Wright|Aluminium alloy monocoque|Double wishbones, coil springs|Double wishbones, coil springs|1984-1985: Hart 415T, Straight 4, 1459 cc, turbo, mid-engine, longitudinally mounted. ; 1984: Ford Cosworth DFV, 2993 cc, V8 naturally aspirated, mid-mounted.||||Hewland FGB|6-speed||Shell||Pirelli|Spirit 201C||1984 Brazilian Grand Prix|NNN hp||||||||19|0|0|0||0|0
Spirit 201|spirit-201+spirit-201c|spirit|1983|1983|John Baldwin; Gordon Coppuck|Aluminium monocoque|Double wishbones|Double wishbones|Honda RA163E|80° V6|turbo|mid-engine, longitudinally mounted|Hewland FGB|5-speed||Shell||Goodyear||Spirit 101|1983 British Grand Prix|NNN hp|1477||580|2654|1753|1753||6|0|0|0||0|0
Spyker F8-VII|spyker-f8-vii+spyker-f8-viib|spyker|2007|2007|Mike Gascoyne ; James Key ; Mark Smith ; John McQuilliam ; Mike Wroe ; Simon Phillips|Carbon-fibre and honeycomb composite monocoque|Unequal length composite wishbones|Unequal length composite wishbones|Ferrari 056 2006-spec (2007); Ferrari 056 2007-spec (2008)|V8|naturally aspirated|mid-engine, longitudinally mounted|Spyker/Ferrari|7 forward + 1 reverse||Shell V-Power||Bridgestone Potenza|Midland M16|Force India VJM02|2007 Australian Grand Prix|750 hp @ 17000 rpm|2398|750||3000|1480|1480||35|0|0|0|0||
Stewart SF01|stewart-sf01|stewart|1997|1997|Alan Jenkins ; Dave Amey ; Richard McAinsh ; Dave Rendall ; Eghbal Hamidy ; Nick Hayes|carbon-fibre and honeycomb composite structure|double wishbones, pushrod|double wishbones, pushrod|Ford JD Zetec-R 3.0-litre 72-degree V10||||Stewart/Xtrac six-speed longitudinal sequential semi-automatic|||Texaco||Bridgestone||SF02|1997 Australian Grand Prix|710 hp @ 15,000 rpm||710||||||17|0|0|0||0|0
Stewart SF02|stewart-sf02|stewart|1998|1998|Alan Jenkins ; Dave Amey ; Steve Foster ; Dave Rendall ; Eghbal Hamidy ; Nick Hayes|carbon-fibre and honeycomb composite structure|double wishbones, pushrod|double wishbones, pushrod|Ford VJ Zetec-R 3.0-litre 72-degree V10||||Stewart six-speed longitudinal sequential semi-automatic|||Texaco||Bridgestone|SF01|SF3|1998 Australian Grand Prix|735 hp (548 kW) @ 16,000 rpm||735||||||16|0|0|0||0|0
Stewart SF3|stewart-sf3|stewart|1999|1999|Gary Anderson ; Dave Amey ; Steve Foster ; Dave Rendall ; Eghbal Hamidy ; Nick Hayes|Moulded carbon fibre monocoque.|Double wishbone, with pushrod activated, inboard spring/damper units.|As front.|Ford Cosworth CR-1|72° V10.|naturally-aspirated|mid-engined|Stewart|6-speed||Texaco||Bridgestone|SF02|Jaguar R1|1999 Australian Grand Prix|790 hp @ 16,200 rpm|2998|790||||||16|1|1|0|4|0|0
Super Aguri SA05|super-aguri-sa05|super-aguri|2006|2006|Mike Coughlan ; Mark Preston; ; Sergio Rinland|Carbon-fibre monocoque with honeycomb structure|Wishbones, pushrod-operated torsion bars and dampers. Mechanical anti-roll bar|Wishbones, pushrod-operated torsion bars and dampers. Mechanical anti-roll bar|Honda RA806-E|V8|naturally aspirated, 19000 rpm limited|mid-mounted|SAF1 carbon composite material main case|7-speed||Elf|ENEOS|Bridgestone|Arrows A23, Minardi PS04, Minardi PS04B|SA06|2006 Bahrain Grand Prix|650-750 hp @ 19,500 rpm||750|600|3100|1472|1472||11|0|0|0||0|0
Super Aguri SA06|super-aguri-sa06|super-aguri|2006|2006|Mark Preston; ; Peter McCool ; Stephen Watt ; Ben Wood|Moulded carbon fibre and honeycomb composite construction incorporating front and side composite impact structures. Integral roll protection structures. Fully enclosed fuel cell|Wishbones, pushrod operated torsion bars and dampers. Mechanical anti-roll bar|Wishbones, pushrod operated coil springs and dampers. Mechanical anti-roll bar|Honda RA806E|V8 (90°).|Naturally-aspirated|mid-mounted.|Super Aguri|7 forward speeds + 1 reverse|AP Racing calipers, Hitco material|||Bridgestone; BBS wheels (front and rear)|SA05|SA07|2006 German Grand Prix||||600|3100||||7|0|0|0||0|0
Super Aguri SA07|super-aguri-sa07|super-aguri|2007|2007|Mark Preston; ; Peter McCool ; Stephen Watt ; Ben Wood|Moulded carbon fibre and honeycomb composite incorporating front and side impact structures with integral roll protection structures|Wishbones, pushrod operated torsion bars and dampers. Mechanical anti-roll bar|as front|Honda RA807E|V8 (90°).|Naturally-aspirated, 19,000 RPM limited|mid-mounted.|Super Aguri|7 forward speeds + 1 reverse|6 piston calipers with carbon pads and disks||ENEOS|Bridgestone|SA06|SA08|2007 Australian Grand Prix|||||3135||||17|0|0|0||0|0
Super Aguri SA08|super-aguri-sa08|super-aguri|2008|2008|Mark Preston; ; Peter McCool ; Ben Wood|Moulded carbon fibre and honeycomb composite monocoque|Double wishbone with pushrod-activated torsion springs and rockers, Showa dampers|As front|Honda RA808E|90° V8|naturally aspirated|mid-mounted||7-speed||BP|Castrol|Bridgestone|SA07||2008 Australian Grand Prix|||||||||4|0|0|0|0|0|0
Surtees TS14|surtees-ts14+surtees-ts14a|surtees|1972|1973|John Surtees|Aluminium alloy monocoque|||Ford Cosworth DFV|V8|naturally aspirated|Mid-engine, longitudinally mounted|Hewland FG 400|5-speed||Duckhams; FINA||Firestone|Surtees TS9B|Surtees TS16|1972 Italian Grand Prix||2993||590|2565|1524|1524||17|0|0|2|||
Surtees TS16|surtees-ts16|surtees|1974|1976|John Surtees|Aluminium alloy monocoque|||Ford Cosworth DFV|V8|naturally aspirated|Mid-engine, longitudinally mounted|Hewland FG 400|5-speed||||1974: Firestone ; 1975–1976: Goodyear|Surtees TS14|Surtees TS19|1974 Argentine Grand Prix||2993|||||||26|0|0|0|||
Surtees TS19|surtees-ts19|surtees|1976|1978|John Surtees; Ken Sears|Aluminium alloy monocoque|||Ford-Cosworth DFV|V8|naturally aspirated|mid-engine, longitudinally mounted|Hewland FGA 400|5 or 6-speed||FINA||Goodyear|Surtees TS16|Surtees TS20|1976 South African Grand Prix||2993||580|2502|1473|1473||38|0|0|0|||
Surtees TS20|surtees-ts20|surtees|1978|1978|John Surtees; Ken Sears|Aluminium alloy monocoque|||Ford-Cosworth DFV|V8|naturally aspirated|Mid-engine, longitudinally mounted|Hewland FGA 400|6-speed||FINA||Goodyear|Surtees TS19||1978 Monaco Grand Prix||2993||601|2642|1651|1651||12|0|0|0|||
Surtees TS7|surtees-ts7|surtees|1970|1971|John Surtees; Shahab Ahmed; Peter Connew|Aluminium alloy monocoque|||Ford-Cosworth DFV|V8|naturally aspirated|Mid-engine, longitudinally mounted|Hewland DG300|5-speed||BP||Firestone||Surtees TS9|1970 British Grand Prix||2993|||||||9|0|0|0|||
Surtees TS9|surtees-ts9+surtees-ts9b|surtees|1971|1973|John Surtees; Peter Connew|Aluminium alloy monocoque|||Ford-Cosworth DFV|V8|naturally aspirated|Mid-engine, longitudinally mounted|Hewland FG400|5-speed||BP; Duckhams; FINA; Shell||Firestone ; Goodyear|Surtees TS7|Surtees TS14|1971 South African Grand Prix||2993|||||||25|0|0|0|||
Toleman TG181|toleman-tg181+toleman-tg181b+toleman-tg181c|toleman|1981|1982|Rory Byrne (Chief Designer); John Gentry (Assistant Designer)|Carbon fibre monocoque|Double wishbones, pull-rod actuated coil springs over dampers|Double wishbones, push-rod actuated coil springs over dampers|Hart 415T|Straight 4|turbo|mid-engine, longitudinally mounted|Hewland / Toleman|5-speed||Agip||Pirelli||Toleman TG183|1981 San Marino Grand Prix||1459||545|2692|1816|1816||26|0|0|1||0|0
Toleman TG183|toleman-tg183+toleman-tg183b|toleman|1982|1984|Rory Byrne (Chief Designer); John Gentry (Assistant Designer)|Carbon fibre Monocoque with semi-stressed engine|double wishbones, pull-rod actuated coil springs over dampers|double wishbones, push-rod actuated coil springs over dampers|Hart 415T|Straight 4|turbo|mid-engine, longitudinally mounted|Hewland|5-speed||Agip||Pirelli|TG181C|TG184|1982 Italian Grand Prix||1459|||||||21|0|0|0||0|0
Toleman TG184|toleman-tg184|toleman|1984|1984|Rory Byrne; Pat Symonds; Brian Hart (engine)|Carbon fibre monocoque|double wishbones, pull-rod actuated coil springs over dampers|double wishbones, push-rod actuated coil springs over dampers|Hart 415T|Straight 4|turbo|mid-engine, longitudinally mounted|Hewland|5-speed||Agip||Michelin|TG183B|TG185|1984 French Grand Prix||1459|||2800|1765|1765||12|0|0|1|3|0|0
Toleman TG185|toleman-tg185|toleman|1985|1985|Rory Byrne (chassis); Brian Hart (engine)|Carbon fibre monocoque|double wishbones, pull-rod actuated coil springs over dampers|double wishbones, push-rod actuated coil springs over dampers|Hart 415T|straight 4|turbo|mid-engine, longitudinally mounted|Hewland / Toleman|5-speed||Agip||Pirelli|TG184|Benetton B186|1985 Monaco Grand Prix|NNN hp|1459||545|2692|1816|1816||13|0|1|0||0|0
Toro Rosso STR1|toro-rosso-str1|toro-rosso|2006|2006|David Pitchforth ; Ian Pocock ; Rob Taylor ; Alessandro Poggi ; Ben Agathangelou|Carbon-fibre monocoque|Cast titanium uprights, pushrods, carbon-fibre upper and lower wishbones|As front|Cosworth TJ2005|V10 (90°)|Normally aspirated||Red Bull|seven-speed||BP|Cosworth Performance Engineered Motor Oil SAE 0W-20|Michelin|Minardi PS05|STR2|2006 Bahrain Grand Prix|915 hp @ 19,000 rpm (rev-limited to 16,700/17,000&nbsp;rpm)||915|605|||||18|0|0|0|||
Toro Rosso STR10|toro-rosso-str10|toro-rosso|2015|2015|James Key ; Ben Waterhouse ; Paolo Marabini ; Matteo Piraccini ; Jody Egginton ; Claudio Balestri ; Brendan Gilhome ; Ben Mallock|Moulded carbon-fibre with honeycomb structure|Upper and lower carbon wishbones, pushrod, torsion bar springs, central damper and anti-roll bars|Upper and lower carbon wishbones, pullrod, torsion bar springs, central damper and anti-roll bars|Renault Energy F1-2015|V6 turbo (90°), limited to 15,000 RPM||in a mid-mounted, rear-wheel drive layout|Red Bull Technology|8-speed + 1 reverse.|Brembo carbon brake discs, pads and 6-piston calipers with rear brake-by-wire|Total|Total|Pirelli P Zero radial dry slick and Pirelli Cinturato intermediate-wet treaded tyres; AppTech forged magnesium alloy wheels|Toro Rosso STR9|Toro Rosso STR11|2015 Australian Grand Prix|700 hp at 10,500 rpm; 160 hp at 13,000 rpm (ERS)||700|702||1470|1470||19|0|0|0|0||
Toro Rosso STR11|toro-rosso-str11|toro-rosso|2016|2016|James Key ; Ben Waterhouse ; Paolo Marabini ; Mark Tatham ; Phil Arnaboldi ; Jody Egginton ; Claudio Balestri ; Brendan Gilhome ; Ben Mallock|Carbon-fibre composite survival cell|Upper and lower carbon wishbones, pushrod, torsion bar springs, central damper and anti-roll bars. Sachs dampers|Upper and lower carbon wishbones, pullrod, torsion bar springs, central damper and anti-roll bars. Sachs dampers|Ferrari 060|direct injection V6 single-turbocharged engine, limited to 15,000 rpm||in a mid-mounted, rear-wheel drive layout|Integrated gearbox developed jointly by Red Bull Technology and Ferrari|8 forward gears + 1 reverse|Brembo carbon discs with aluminium calipers|Shell V-Power Nitro+ 98 RON unleaded racing gasoline|Shell Helix Ultra|Pirelli P Zero (dry) tyres; Pirelli Cinturato (wet) tyres|Toro Rosso STR10|Toro Rosso STR12|2016 Australian Grand Prix||||702|3700||||21|0|0|1|0||
Toro Rosso STR12|toro-rosso-str12|toro-rosso|2017|2017|Ben Mallock|Carbon-fibre composite survival cell|Upper and lower carbon wishbones, pushrod, torsion bar springs, central damper and anti-roll bars. Sachs dampers|Upper and lower carbon wishbones, pullrod, torsion bar springs, central damper and anti-roll bars. Sachs dampers|Renault R.E.17 (rebadged as Toro Rosso)|direct injection V6 turbocharged engine, limited to 15,000 rpm||in a mid-mounted, rear-wheel drive layout|Red Bull Technology|Eight-speed + one reverse sequential, longitudinally mounted with hydraulic system for power shift and clutch operation|Brembo carbon discs, calipers and pads|Esso / Mobil|Mobil 1|Pirelli P Zero (dry) tyres; Pirelli Cinturato (wet) tyres|Toro Rosso STR11|Scuderia Toro Rosso STR13|2017 Australian Grand Prix|||||3500||||20|0|0|0|0||
